composition,Dmax,GFA,Tg,Tx,Tl
Au22.5B10Pr67.5,0.15,Ribbon,,,
Al22.5B10Tb67.5,0.15,Ribbon,,,
Al25Tb75,0.15,Ribbon,,,
Au22.75Cu68.25La9,0.15,Ribbon,,,
Au44.5Cu44.5La11,0.15,Ribbon,,,
Au45Cu45La10,0.15,Ribbon,,,
Au45.5Cu45.5La9,0.15,Ribbon,,,
Au54.6Cu36.4La9,0.15,Ribbon,,,
Cu30Mg70,0.15,Ribbon,,,
Au1Cu29Mg70,0.15,Ribbon,,,
Au3Cu27Mg70,0.15,Ribbon,,,
Au9Cu21Mg70,0.15,Ribbon,,,
Au76.89Ge13.66Si9.45,0.15,Ribbon,,,
Au77Ge14Si9,0.15,Ribbon,,,
Au53.2Pb27.5Sb19.3,0.15,Ribbon,,,
Au55Pb22.5Sb22.5,0.15,Ribbon,,,
Au3.5Pd80Si16.5,0.15,Ribbon,,,
Au3.5Pd80.5Si16,0.15,Ribbon,,,
Au4Pd75Si21,0.15,Ribbon,,,
Au4Pd76Si20,0.15,Ribbon,,,
Au4Pd78Si18,0.15,Ribbon,,,
Au4Pd79Si17,0.15,Ribbon,,,
Au4Pd81Si15,0.15,Ribbon,,,
Au6Pd78Si16,0.15,Ribbon,,,
Au7Pd73Si20,0.15,Ribbon,,,
Au9Pd75Si16,0.15,Ribbon,,,
Au12Pd68Si20,0.15,Ribbon,,,
Au12Pd71Si17,0.15,Ribbon,,,
Au66Pd16Si18,0.15,Ribbon,,,
Au7.5Pd76Si16.5,0.15,Ribbon,,,
Au4Pd79.5Si16.5,0.15,Ribbon,,,
Au1.7Pd81.8Si16.5,0.15,Ribbon,,,
Au4.2Pd79.3Si16.5,0.15,Ribbon,,,
Au6.7Pd76.8Si16.5,0.15,Ribbon,,,
Au10Pd73.5Si16.5,0.15,Ribbon,,,
Au12.5Pd71Si16.5,0.15,Ribbon,,,
Au15Pd68.5Si16.5,0.15,Ribbon,,,
Au20.9Pd62.6Si16.5,0,Crystal,,,
Au1Pd81Si18,0.15,Ribbon,,,
Au2Pd80Si18,0.15,Ribbon,,,
Au2Pd81.5Si16.5,0.15,Ribbon,,,
Au3Pd79Si18,0.15,Ribbon,,,
Au3Pd80.5Si16.5,0.15,Ribbon,,,
Au5Pd78.5Si16.5,0.15,Ribbon,,,
Au6Pd77.5Si16.5,0.15,Ribbon,,,
Au7Pd76.5Si16.5,0.15,Ribbon,,,
Au10Pd72Si18,0.15,Ribbon,,,
Au6Pd76Si18,0.15,Ribbon,,,
Au8Pd74Si18,0.15,Ribbon,,,
Au5Pd77Si18,0.15,Ribbon,,,
Au7Pd75Si18,0.15,Ribbon,,,
B10Be20Fe70,0.15,Ribbon,,,
B20Fe80,0.15,Ribbon,,,
B12C12Co76,0.15,Ribbon,,,
B16C4Co80,0.15,Ribbon,,,
B16C8Co76,0.15,Ribbon,,,
B16C12Co72,0.15,Ribbon,,,
B17Co83,0.15,Ribbon,,,
B20C4Co76,0.15,Ribbon,,,
B20C8Co72,0.15,Ribbon,,,
B20C12Co68,0.15,Ribbon,,,
B20C16Co64,0.15,Ribbon,,,
B20C20Co60,0.15,Ribbon,,,
B24C8Co68,0.15,Ribbon,,,
B24C12Co64,0.15,Ribbon,,,
B24C20Co56,0.15,Ribbon,,,
B28C4Co68,0.15,Ribbon,,,
B28C8Co64,0.15,Ribbon,,,
B28C16Co56,0.15,Ribbon,,,
B29Co71,0.15,Ribbon,,,
B32C2Co66,0.15,Ribbon,,,
B32C4Co64,0.15,Ribbon,,,
B32C8Co60,0.15,Ribbon,,,
B32C12Co56,0.15,Ribbon,,,
B32C16Co52,0.15,Ribbon,,,
B36C2Co62,0.15,Ribbon,,,
B36C4Co60,0.15,Ribbon,,,
B41Co59,0.15,Ribbon,,,
B8C12Co80,0,Crystal,,,
B12C4Co84,0,Crystal,,,
B12C8Co80,0,Crystal,,,
B12C16Co72,0,Crystal,,,
B16C16Co68,0,Crystal,,,
B16C20Co64,0,Crystal,,,
B28C20Co52,0,Crystal,,,
B40C2Co58,0,Crystal,,,
B8C4Co88,0,Crystal,,,
B8C8Co84,0,Crystal,,,
B32C20Co48,0,Crystal,,,
B36C8Co56,0,Crystal,,,
B36C12Co52,0,Crystal,,,
B36C16Co48,0,Crystal,,,
B24C4Co72,0.15,Ribbon,,,
B24C16Co60,0.15,Ribbon,,,
B28C12Co60,0.15,Ribbon,,,
B7C7Fe86,0.15,Ribbon,,,
B8C7Fe85,0.15,Ribbon,,,
B8C9Fe83,0.15,Ribbon,,,
B9C9Fe82,0.15,Ribbon,,,
B10C5Fe85,0.15,Ribbon,,,
B10C7Fe83,0.15,Ribbon,,,
B10C9Fe81,0.15,Ribbon,,,
B11C5Fe84,0.15,Ribbon,,,
B11C7Fe82,0.15,Ribbon,,,
B11C9Fe80,0.15,Ribbon,,,
B12C3Fe85,0.15,Ribbon,,,
B12C5Fe83,0.15,Ribbon,,,
B12C7Fe81,0.15,Ribbon,,,
B12C9Fe79,0.15,Ribbon,,,
B14C3Fe83,0.15,Ribbon,,,
B14C5Fe81,0.15,Ribbon,,,
B14C7Fe79,0.15,Ribbon,,,
B16C3Fe81,0.15,Ribbon,,,
B17C5Fe78,0.15,Ribbon,,,
B18C3Fe79,0.15,Ribbon,,,
B9C11Fe80,0.15,Ribbon,,,
B13C7Fe80,0.15,Ribbon,,,
B15C5Fe80,0.15,Ribbon,,,
B16C4Fe80,0.15,Ribbon,,,
B17C3Fe80,0.15,Ribbon,,,
B10C10Fe80,0.15,Ribbon,,,
B18C2Fe80,0.15,Ribbon,,,
B19Fe81,0.15,Ribbon,,,
B14C5Ni81,0.15,Ribbon,,,
B16C2Ni82,0.15,Ribbon,,,
B16C4Ni80,0.15,Ribbon,,,
B16C6Ni78,0.15,Ribbon,,,
B16C8Ni76,0.15,Ribbon,,,
B16C10Ni74,0.15,Ribbon,,,
B18C12Ni70,0.15,Ribbon,,,
B18C16Ni66,0.15,Ribbon,,,
B20C2Ni78,0.15,Ribbon,,,
B20C12Ni68,0.15,Ribbon,,,
B20C16Ni64,0.15,Ribbon,,,
B22C10Ni68,0.15,Ribbon,,,
B22C12Ni66,0.15,Ribbon,,,
B22C14Ni64,0.15,Ribbon,,,
B22C18Ni60,0.15,Ribbon,,,
B24C8Ni68,0.15,Ribbon,,,
B26C6Ni68,0.15,Ribbon,,,
B26C12Ni62,0.15,Ribbon,,,
B26C14Ni60,0.15,Ribbon,,,
B28Ni72,0.15,Ribbon,,,
B28C2Ni70,0.15,Ribbon,,,
B28C4Ni68,0.15,Ribbon,,,
B28C6Ni66,0.15,Ribbon,,,
B28C8Ni64,0.15,Ribbon,,,
B28C10Ni62,0.15,Ribbon,,,
B28C16Ni56,0.15,Ribbon,,,
B30C12Ni58,0.15,Ribbon,,,
B34C6Ni60,0.15,Ribbon,,,
B34C10Ni56,0.15,Ribbon,,,
B34C12Ni54,0.15,Ribbon,,,
B34C14Ni52,0.15,Ribbon,,,
B38C6Ni56,0.15,Ribbon,,,
B38C10Ni52,0.15,Ribbon,,,
B38C12Ni50,0.15,Ribbon,,,
B38C14Ni48,0.15,Ribbon,,,
B40C2Ni58,0.15,Ribbon,,,
B40C8Ni52,0.15,Ribbon,,,
B42C2Ni56,0.15,Ribbon,,,
B42C8Ni50,0.15,Ribbon,,,
B42C10Ni48,0.15,Ribbon,,,
B42C12Ni46,0.15,Ribbon,,,
B42C14Ni44,0.15,Ribbon,,,
B42C16Ni42,0.15,Ribbon,,,
B46C12Ni42,0.15,Ribbon,,,
B46C20Ni34,0.15,Ribbon,,,
B50C12Ni38,0.15,Ribbon,,,
B50C20Ni30,0.15,Ribbon,,,
B55C8Ni37,0.15,Ribbon,,,
B55C12Ni33,0.15,Ribbon,,,
B55C16Ni29,0.15,Ribbon,,,
B59C4Ni37,0.15,Ribbon,,,
B11.5C10Ni78.5,0,Crystal,,,
B13C10Ni77,0,Crystal,,,
B13C12Ni75,0,Crystal,,,
B14C20Ni66,0,Crystal,,,
B15C12Ni73,0,Crystal,,,
B17C8Ni75,0,Crystal,,,
B17C16Ni67,0,Crystal,,,
B22C8Ni70,0,Crystal,,,
B26C4Ni70,0,Crystal,,,
B40C6Ni54,0,Crystal,,,
B50C8Ni42,0,Crystal,,,
C5Ni95,0,Crystal,,,
C10Ni90,0,Crystal,,,
C15Ni85,0,Crystal,,,
C20Ni80,0,Crystal,,,
B5Ni95,0,Crystal,,,
B5C5Ni90,0,Crystal,,,
B5C15Ni80,0,Crystal,,,
B5C20Ni75,0,Crystal,,,
B10C5Ni85,0,Crystal,,,
B10C8Ni82,0,Crystal,,,
B10C10Ni80,0,Crystal,,,
B10C15Ni75,0,Crystal,,,
B10C20Ni70,0,Crystal,,,
B12C6Ni82,0,Crystal,,,
B14C2Ni84,0,Crystal,,,
B14C16Ni70,0,Crystal,,,
B16Ni84,0,Crystal,,,
B18C6Ni76,0,Crystal,,,
B20Ni80,0,Crystal,,,
B20C6Ni74,0,Crystal,,,
B20C8Ni72,0,Crystal,,,
B22Ni78,0,Crystal,,,
B22C2Ni76,0,Crystal,,,
B22C5Ni73,0,Crystal,,,
B24Ni76,0,Crystal,,,
B24C4Ni72,0,Crystal,,,
B26Ni74,0,Crystal,,,
B26C2Ni72,0,Crystal,,,
B40C4Ni56,0,Crystal,,,
B41C6Ni53,0,Crystal,,,
B42.5C2.5Ni55,0,Crystal,,,
B44C2.5Ni53.5,0,Crystal,,,
B46Ni54,0,Crystal,,,
B46C4Ni50,0,Crystal,,,
B46C8Ni46,0,Crystal,,,
B48Ni52,0,Crystal,,,
B50C4Ni46,0,Crystal,,,
B54Ni46,0,Crystal,,,
B58C4Ni38,0,Crystal,,,
B20Co30Cr50,0.15,Ribbon,,,
B20Co35Cr45,0.15,Ribbon,,,
B20Co40Cr40,0.15,Ribbon,,,
B20Co50Cr30,0.15,Ribbon,,,
B20Co55Cr25,0.15,Ribbon,,,
B20Co60Cr20,0.15,Ribbon,,,
B20Co65Cr15,0.15,Ribbon,,,
B20Co70Cr10,0.15,Ribbon,,,
B20Co72Cr8,0.15,Ribbon,,,
B18.5Co81.5,0.15,Ribbon,,,
B20Co80,0.15,Ribbon,,,
B25Co67.5Cr7.5,0.15,Ribbon,,,
B25Co75,0.15,Ribbon,,,
B35Co65,0.15,Ribbon,,,
B20Co74Fe6,0.15,Ribbon,,,
B20Co50Fe30,0.15,Ribbon,,,
B20Co70Fe10,0.15,Ribbon,,,
B16Fe84,0.15,Ribbon,,,
B17Co10Fe73,0.15,Ribbon,,,
B20Co10Fe70,0.15,Ribbon,,,
B20Co20Fe60,0.15,Ribbon,,,
B20Co30Fe50,0.15,Ribbon,,,
B20Co40Fe40,0.15,Ribbon,,,
B20Co60Fe20,0.15,Ribbon,,,
B17Co1Fe82,0.15,Ribbon,,,
B17Co2Fe81,0.15,Ribbon,,,
B17Co3Fe80,0.15,Ribbon,,,
B17Co4Fe79,0.15,Ribbon,,,
B17Co6Fe77,0.15,Ribbon,,,
B17Co7.5Fe75.5,0.15,Ribbon,,,
B17Co11.5Fe71.5,0.15,Ribbon,,,
B17Co16.5Fe66.5,0.15,Ribbon,,,
B17Co19Fe64,0.15,Ribbon,,,
B17Co22Fe61,0.15,Ribbon,,,
B17Co25Fe58,0.15,Ribbon,,,
B17Co33Fe50,0.15,Ribbon,,,
B17Co54Fe29,0.15,Ribbon,,,
B17Co66.5Fe16.5,0.15,Ribbon,,,
B20Co75Fe5,0.15,Ribbon,,,
B9Fe91,0.15,Ribbon,,,
B9Co85Fe6,0.15,Ribbon,,,
B17Fe83,0.15,Ribbon,,,
B17Co41.5Fe41.5,0.15,Ribbon,,,
B17Co62Fe21,0.15,Ribbon,,,
B17Co75Fe8,0.15,Ribbon,,,
B17Co77Fe6,0.15,Ribbon,,,
B25Fe75,0.15,Ribbon,,,
B25Co70Fe5,0.15,Ribbon,,,
B20Co5Fe75,0.15,Ribbon,,,
B20Co4Fe76,0.15,Ribbon,,,
B11Co89,0.15,Ribbon,,,
B12Co52.8Mn35.2,0.15,Ribbon,,,
B12Co53Mn35,0.15,Ribbon,,,
B12Co57Mn31,0.15,Ribbon,,,
B12Co61.6Mn26.4,0.15,Ribbon,,,
B12Co70.4Mn17.6,0.15,Ribbon,,,
B12Co70.5Mn17.5,0.15,Ribbon,,,
B12Co79Mn9,0.15,Ribbon,,,
B12Co88,0.15,Ribbon,,,
B16Co50.4Mn33.6,0.15,Ribbon,,,
B16Co50.5Mn33.5,0.15,Ribbon,,,
B16Co54.5Mn29.5,0.15,Ribbon,,,
B16Co58.8Mn25.2,0.15,Ribbon,,,
B16Co67Mn17,0.15,Ribbon,,,
B16Co67.2Mn16.8,0.15,Ribbon,,,
B16Co75Mn9,0.15,Ribbon,,,
B16Co75.6Mn8.4,0.15,Ribbon,,,
B24Co45.5Mn30.5,0.15,Ribbon,,,
B24Co49.4Mn26.6,0.15,Ribbon,,,
B24Co49.5Mn26.5,0.15,Ribbon,,,
B24Co53Mn23,0.15,Ribbon,,,
B24Co68Mn8,0.15,Ribbon,,,
B24Co68.4Mn7.6,0.15,Ribbon,,,
B24Co76,0.15,Ribbon,,,
B28Co43Mn29,0.15,Ribbon,,,
B28Co43.2Mn28.8,0.15,Ribbon,,,
B28Co47Mn25,0.15,Ribbon,,,
B28Co50Mn22,0.15,Ribbon,,,
B28Co50.4Mn21.6,0.15,Ribbon,,,
B28Co57.6Mn14.4,0.15,Ribbon,,,
B28Co64.8Mn7.2,0.15,Ribbon,,,
B32Co41Mn27,0.15,Ribbon,,,
B32Co44Mn24,0.15,Ribbon,,,
B32Co46.4Mn21.6,0.15,Ribbon,,,
B32Co47Mn21,0.15,Ribbon,,,
B32Co54.4Mn13.6,0.15,Ribbon,,,
B32Co54.5Mn13.5,0.15,Ribbon,,,
B32Co61Mn7,0.15,Ribbon,,,
B32Co68,0.15,Ribbon,,,
B12Co48Mn40,0.15,Ribbon,,,
B12Co61Mn27,0.15,Ribbon,,,
B12Co68Mn20,0.15,Ribbon,,,
B12Co70Mn18,0.15,Ribbon,,,
B16Co50Mn34,0.15,Ribbon,,,
B16Co84,0.15,Ribbon,,,
B20Co40Mn40,0.15,Ribbon,,,
B20Co48Mn32,0.15,Ribbon,,,
B20Co52Mn28,0.15,Ribbon,,,
B20Co56Mn24,0.15,Ribbon,,,
B20Co60Mn20,0.15,Ribbon,,,
B20Co72Mn8,0.15,Ribbon,,,
B24Co54Mn22,0.15,Ribbon,,,
B24Co61Mn15,0.15,Ribbon,,,
B28Co32Mn40,0.15,Ribbon,,,
B28Co51Mn21,0.15,Ribbon,,,
B28Co52Mn20,0.15,Ribbon,,,
B28Co58Mn14,0.15,Ribbon,,,
B28Co65Mn7,0.15,Ribbon,,,
B28Co72,0.15,Ribbon,,,
B32Co48Mn20,0.15,Ribbon,,,
B32Co54Mn14,0.15,Ribbon,,,
B24Co38Mn38,0.15,Ribbon,,,
B24Co45.6Mn30.4,0.15,Ribbon,,,
B24Co53.2Mn22.8,0.15,Ribbon,,,
B24Co60.8Mn15.2,0.15,Ribbon,,,
B12Co18Mn70,0.15,Ribbon,,,
B12Co24Mn64,0.15,Ribbon,,,
B12Co34Mn54,0.15,Ribbon,,,
B12Co39Mn49,0.15,Ribbon,,,
B12Co44Mn44,0.15,Ribbon,,,
B12Co45Mn43,0.15,Ribbon,,,
B12Co49Mn39,0.15,Ribbon,,,
B12Co62Mn26,0.15,Ribbon,,,
B16Co17Mn67,0.15,Ribbon,,,
B16Co20Mn64,0.15,Ribbon,,,
B16Co21Mn63,0.15,Ribbon,,,
B16Co24.5Mn59.5,0.15,Ribbon,,,
B16Co25Mn59,0.15,Ribbon,,,
B16Co27Mn57,0.15,Ribbon,,,
B16Co33Mn51,0.15,Ribbon,,,
B16Co35Mn49,0.15,Ribbon,,,
B16Co42Mn42,0.15,Ribbon,,,
B16Co43.5Mn40.5,0.15,Ribbon,,,
B16Co49Mn35,0.15,Ribbon,,,
B16Co59Mn25,0.15,Ribbon,,,
B16Co65Mn19,0.15,Ribbon,,,
B16Co65.5Mn18.5,0.15,Ribbon,,,
B16Co76Mn8,0.15,Ribbon,,,
B20Co20Mn60,0.15,Ribbon,,,
B20Co28.5Mn51.5,0.15,Ribbon,,,
B20Co32Mn48,0.15,Ribbon,,,
B20Co36.5Mn43.5,0.15,Ribbon,,,
B20Co37Mn43,0.15,Ribbon,,,
B20Co41.5Mn38.5,0.15,Ribbon,,,
B20Co44Mn36,0.15,Ribbon,,,
B20Co47.5Mn32.5,0.15,Ribbon,,,
B20Co57Mn23,0.15,Ribbon,,,
B24Co24Mn52,0.15,Ribbon,,,
B24Co27Mn49,0.15,Ribbon,,,
B24Co28Mn48,0.15,Ribbon,,,
B24Co33Mn43,0.15,Ribbon,,,
B24Co34Mn42,0.15,Ribbon,,,
B24Co39Mn37,0.15,Ribbon,,,
B24Co42Mn34,0.15,Ribbon,,,
B24Co46.5Mn29.5,0.15,Ribbon,,,
B24Co48Mn28,0.15,Ribbon,,,
B24Co52Mn24,0.15,Ribbon,,,
B28Co25Mn47,0.15,Ribbon,,,
B28Co30Mn42,0.15,Ribbon,,,
B28Co36Mn36,0.15,Ribbon,,,
B28Co37Mn35,0.15,Ribbon,,,
B28Co41Mn31,0.15,Ribbon,,,
B28Co41.5Mn30.5,0.15,Ribbon,,,
B28Co45Mn27,0.15,Ribbon,,,
B28Co45.5Mn26.5,0.15,Ribbon,,,
B31Co41Mn28,0.15,Ribbon,,,
B25Co67.5Mn7.5,0.15,Ribbon,,,
B11Co53.4Mn35.6,0.15,Ribbon,,,
B11Co71.2Mn17.8,0.15,Ribbon,,,
B20Co64Mn16,0.15,Ribbon,,,
B33Co40.2Mn26.8,0.15,Ribbon,,,
B33Co53.6Mn13.4,0.15,Ribbon,,,
B2Co84Nb14,0.15,Ribbon,,,
B5Co81Nb14,0.15,Ribbon,,,
B10Co77Nb13,0.15,Ribbon,,,
B6Co84Nb10,0,Crystal,,,
B6Co80Nb14,0.15,Ribbon,,,
B12Co80Nb8,0.15,Ribbon,,,
B34Co33Ni33,0.15,Ribbon,,,
B34Co66,0.15,Ribbon,,,
B7Co80P13,0.15,Ribbon,,,
B7.5Co77.5Si15,0.15,Ribbon,,,
B10Co75Si15,0.15,Ribbon,,,
B10Co77.5Si12.5,0.15,Ribbon,,,
B12.5Co77.5Si10,0.15,Ribbon,,,
B12.5Co80Si7.5,0.15,Ribbon,,,
B15Co70Si15,0.15,Ribbon,,,
B15Co75Si10,0.15,Ribbon,,,
B15Co77.5Si7.5,0.15,Ribbon,,,
B15Co80Si5,0.15,Ribbon,,,
B20Co65Si15,0.15,Ribbon,,,
B20Co67.5Si12.5,0.15,Ribbon,,,
B20Co70Si10,0.15,Ribbon,,,
B20Co72.5Si7.5,0.15,Ribbon,,,
B20Co75Si5,0.15,Ribbon,,,
B25Co62.5Si12.5,0.15,Ribbon,,,
B25Co65Si10,0.15,Ribbon,,,
B25Co67.5Si7.5,0.15,Ribbon,,,
B25Co70Si5,0.15,Ribbon,,,
B27.5Co65Si7.5,0.15,Ribbon,,,
B30Co65Si5,0.15,Ribbon,,,
B20Co62.5Si17.5,0,Crystal,,,
B5Co75Si20,0,Crystal,,,
B10Co70Si20,0,Crystal,,,
B10Co80Si10,0,Crystal,,,
B10Co82Si8,0,Crystal,,,
B10Co85Si5,0,Crystal,,,
B12.5Co80.5Si7,0,Crystal,,,
B14Co82Si4,0,Crystal,,,
B15Co65Si20,0,Crystal,,,
B15Co85,0,Crystal,,,
B20Co60Si20,0,Crystal,,,
B22.5Co60Si17.5,0,Crystal,,,
B12Co78Si10,0.15,Ribbon,,,
B15Co72.5Si12.5,0.15,Ribbon,,,
B12.5Co75Si12.5,0.15,Ribbon,,,
B17.5Co75Si7.5,0.15,Ribbon,,,
B11Co78Si11,0.15,Ribbon,,,
B13.5Co73Si13.5,0.15,Ribbon,,,
B14.75Co70.5Si14.75,0.15,Ribbon,,,
B16Co68Si16,0.15,Ribbon,,,
B14Co80Si6,0.15,Ribbon,,,
B10Co20Ti70,0.15,Ribbon,,,
B18Co66Ti16,0.15,Ribbon,,,
B18Co70Ti12,0.15,Ribbon,,,
B18Co74Ti8,0.15,Ribbon,,,
B18Co78Ti4,0.15,Ribbon,,,
B20Co64Ti16,0.15,Ribbon,,,
B20Co68Ti12,0.15,Ribbon,,,
B20Co72Ti8,0.15,Ribbon,,,
B20Co76Ti4,0.15,Ribbon,,,
B22Co62Ti16,0.15,Ribbon,,,
B22Co66Ti12,0.15,Ribbon,,,
B22Co70Ti8,0.15,Ribbon,,,
B22Co74Ti4,0.15,Ribbon,,,
B24Co64Ti12,0.15,Ribbon,,,
B24Co68Ti8,0.15,Ribbon,,,
B24Co72Ti4,0.15,Ribbon,,,
B12Co68Ti20,0.15,Ribbon,,,
B12.75Co72.25Ti15,0.15,Ribbon,,,
B13.5Co76.5Ti10,0.15,Ribbon,,,
B11.25Co63.75V25,0.15,Ribbon,,,
B12Co68V20,0.15,Ribbon,,,
B12.75Co72.25V15,0.15,Ribbon,,,
B13.5Co76.5V10,0.15,Ribbon,,,
B14.25Co80.75V5,0.15,Ribbon,,,
B40Co40Y20,0.15,Ribbon,,,
B2Co88Zr10,0.15,Ribbon,,,
B5Co85Zr10,0.15,Ribbon,,,
B2Co82Zr16,0.15,Ribbon,,,
B4Co86Zr10,0.15,Ribbon,,,
B7Co77Zr16,0.15,Ribbon,,,
B10Co74Zr16,0.15,Ribbon,,,
B10Co80Zr10,0.15,Ribbon,,,
B13Co71Zr16,0.15,Ribbon,,,
B16Co68Zr16,0.15,Ribbon,,,
B16Co74Zr10,0.15,Ribbon,,,
B20Co70Zr10,0.15,Ribbon,,,
B25Co65Zr10,0.15,Ribbon,,,
B2Co91Zr7,0.15,Ribbon,,,
B15Fe85,0.15,Ribbon,,,
B15Cr2.5Fe82.5,0.15,Ribbon,,,
B15Cr4Fe81,0.15,Ribbon,,,
B15Cr7Fe78,0.15,Ribbon,,,
B15Cr9Fe76,0.15,Ribbon,,,
B15Cr12Fe73,0.15,Ribbon,,,
B20Cr8Fe72,0.15,Ribbon,,,
B20Cr20Fe60,0.15,Ribbon,,,
B20Cr25Fe55,0.15,Ribbon,,,
B20Cr30Fe50,0.15,Ribbon,,,
B20Cr35Fe45,0.15,Ribbon,,,
B20Cr40Fe40,0.15,Ribbon,,,
B15Cr11Fe74,0.15,Ribbon,,,
B15Cr25Fe60,0.15,Ribbon,,,
B9Cr85Fe6,0.15,Ribbon,,,
B17Cr2.5Fe80.5,0.15,Ribbon,,,
B25Cr70Fe5,0.15,Ribbon,,,
B2Cr8Fe90,0.15,Ribbon,,,
B2Cr10Fe88,0.15,Ribbon,,,
B4Cr8Fe88,0.15,Ribbon,,,
B4Cr10Fe86,0.15,Ribbon,,,
B6Cr8Fe86,0.15,Ribbon,,,
B6Cr10Fe84,0.15,Ribbon,,,
B8Cr8Fe84,0.15,Ribbon,,,
B8Cr10Fe82,0.15,Ribbon,,,
B10Cr24Fe66,0.15,Ribbon,,,
B10Cr26Fe64,0.15,Ribbon,,,
B12Cr5Fe83,0.15,Ribbon,,,
B12Cr10Fe78,0.15,Ribbon,,,
B12Cr14Fe74,0.15,Ribbon,,,
B12Cr15Fe73,0.15,Ribbon,,,
B12Cr18Fe70,0.15,Ribbon,,,
B12Cr20Fe68,0.15,Ribbon,,,
B12Cr22Fe66,0.15,Ribbon,,,
B12Cr24Fe64,0.15,Ribbon,,,
B14Cr5Fe81,0.15,Ribbon,,,
B14Cr10Fe76,0.15,Ribbon,,,
B14Cr14Fe72,0.15,Ribbon,,,
B14Cr15Fe71,0.15,Ribbon,,,
B14Cr20Fe66,0.15,Ribbon,,,
B14Cr24Fe62,0.15,Ribbon,,,
B16Cr5Fe79,0.15,Ribbon,,,
B16Cr10Fe74,0.15,Ribbon,,,
B16Cr14Fe70,0.15,Ribbon,,,
B16Cr20Fe64,0.15,Ribbon,,,
B18Cr5Fe77,0.15,Ribbon,,,
B18Cr10Fe72,0.15,Ribbon,,,
B18Cr14Fe68,0.15,Ribbon,,,
B18Cr20Fe62,0.15,Ribbon,,,
B20Cr10Fe70,0.15,Ribbon,,,
B8Cr18Fe74,0,Crystal,,,
B8Cr20Fe72,0,Crystal,,,
B8Cr22Fe70,0,Crystal,,,
B8Cr24Fe68,0,Crystal,,,
B8Cr26Fe66,0,Crystal,,,
B10Cr5Fe85,0,Crystal,,,
B10Cr8Fe82,0,Crystal,,,
B10Cr10Fe80,0,Crystal,,,
B10Cr12Fe78,0,Crystal,,,
B10Cr14Fe76,0,Crystal,,,
B10Cr15Fe75,0,Crystal,,,
B10Cr18Fe72,0,Crystal,,,
B10Cr20Fe70,0,Crystal,,,
B10Cr22Fe68,0,Crystal,,,
B2Cr12Fe86,0,Crystal,,,
B2Cr14Fe84,0,Crystal,,,
B2Cr16Fe82,0,Crystal,,,
B2Cr20Fe78,0,Crystal,,,
B4Cr5Fe91,0,Crystal,,,
B4Cr12Fe84,0,Crystal,,,
B4Cr14Fe82,0,Crystal,,,
B4Cr15Fe81,0,Crystal,,,
B4Cr16Fe80,0,Crystal,,,
B4Cr20Fe76,0,Crystal,,,
B6Cr5Fe89,0,Crystal,,,
B6Cr12Fe82,0,Crystal,,,
B6Cr14Fe80,0,Crystal,,,
B6Cr15Fe79,0,Crystal,,,
B6Cr16Fe78,0,Crystal,,,
B6Cr18Fe76,0,Crystal,,,
B6Cr20Fe74,0,Crystal,,,
B6Cr22Fe72,0,Crystal,,,
B6Cr24Fe70,0,Crystal,,,
B6Cr26Fe68,0,Crystal,,,
B8Cr5Fe87,0,Crystal,,,
B8Cr12Fe80,0,Crystal,,,
B8Cr14Fe78,0,Crystal,,,
B8Cr15Fe77,0,Crystal,,,
B8Cr16Fe76,0,Crystal,,,
B20Cr5Fe75,0.15,Ribbon,,,
B15Cr5Fe80,0.15,Ribbon,,,
B15Cr10Fe75,0.15,Ribbon,,,
B15Cr15Fe70,0.15,Ribbon,,,
B15Cr20Fe65,0.15,Ribbon,,,
B15Cr30Fe55,0.15,Ribbon,,,
B20Cr1Fe79,0.15,Ribbon,,,
B20Cr2.5Fe77.5,0.15,Ribbon,,,
B14.4Cr6.6Fe79,0.15,Ribbon,,,
B11Cr27Fe62,0.15,Ribbon,,,
B12Cr26Fe62,0.15,Ribbon,,,
B14Cr26Fe60,0.15,Ribbon,,,
B17.5Cr25Fe57.5,0.15,Ribbon,,,
B19.5Cr24.5Fe56,0.15,Ribbon,,,
B21Cr24Fe55,0.15,Ribbon,,,
B20Cr4Fe76,0.15,Ribbon,,,
B20Cr6Fe74,0.15,Ribbon,,,
B20Cr15Fe65,0.15,Ribbon,,,
B14Fe86,0.15,Ribbon,,,
B14Cr7Fe79,0.15,Ribbon,,,
B16Cr7Fe77,0.15,Ribbon,,,
B20Cr10Ni70,0.15,Ribbon,,,
B20Cr20Ni60,0.15,Ribbon,,,
B20Cr25Ni55,0.15,Ribbon,,,
B20Cr30Ni50,0.15,Ribbon,,,
B13Cu0.5Fe86.5,0.15,Ribbon,,,
B14Cu0.5Fe85.5,0.15,Ribbon,,,
B16Cu0.5Fe83.5,0.15,Ribbon,,,
B18Cu0.5Fe81.5,0.15,Ribbon,,,
B20Cu0.5Fe79.5,0.15,Ribbon,,,
B14Cu1Fe85,0,Crystal,,,
B14Cu3Fe83,0,Crystal,,,
B14Cu5Fe81,0,Crystal,,,
B14Cu10Fe76,0,Crystal,,,
B16Cu1Fe83,0,Crystal,,,
B16Cu3Fe81,0,Crystal,,,
B16Cu5Fe79,0,Crystal,,,
B16Cu10Fe74,0,Crystal,,,
B16Cu15Fe69,0,Crystal,,,
B18Cu1Fe81,0,Crystal,,,
